STATE_CODE,DISTRICT,QUARTER,LEVEL,STATE
AN,South Andaman,01-01-2013,5.5,Andaman and Nicobar
AN,South Andaman,01-04-2013,1.999041096,Andaman and Nicobar
AN,South Andaman,01-07-2013,3.95,Andaman and Nicobar
AN,South Andaman,01-10-2013,1.476986301,Andaman and Nicobar
AN,South Andaman,01-01-2014,5.5,Andaman and Nicobar
AN,South Andaman,01-04-2014,3.023888889,Andaman and Nicobar
AN,South Andaman,01-07-2014,3.95,Andaman and Nicobar
AN,South Andaman,01-10-2014,1.854166667,Andaman and Nicobar
AN,South Andaman,01-01-2015,5.5,Andaman and Nicobar
AN,South Andaman,01-04-2015,3.440138889,Andaman and Nicobar
AN,South Andaman,01-07-2015,3.95,Andaman and Nicobar
AN,South Andaman,01-10-2015,1.649305556,Andaman and Nicobar
AN,South Andaman,01-01-2016,5.5,Andaman and Nicobar
AN,South Andaman,01-04-2016,3.19028169,Andaman and Nicobar
AN,South Andaman,01-07-2016,3.95,Andaman and Nicobar
AN,South Andaman,01-10-2016,1.420985915,Andaman and Nicobar
AN,South Andaman,01-01-2017,5.5,Andaman and Nicobar
AN,South Andaman,01-04-2017,3.488823529,Andaman and Nicobar
AN,South Andaman,01-07-2017,3.95,Andaman and Nicobar
AN,South Andaman,01-10-2017,1.318235294,Andaman and Nicobar
AN,South Andaman,01-01-2018,5.5,Andaman and Nicobar
AN,South Andaman,01-04-2018,1.358169014,Andaman and Nicobar
AN,South Andaman,01-07-2018,3.95,Andaman and Nicobar
AN,South Andaman,01-10-2018,1.291690141,Andaman and Nicobar
AP,Anantapur,01-01-1996,8.946804124,Andhra Pradesh
AP,Anantapur,01-04-1996,9.955051546,Andhra Pradesh
AP,Anantapur,01-07-1996,7.951237113,Andhra Pradesh
AP,Anantapur,01-10-1996,5.006082474,Andhra Pradesh
AP,Anantapur,01-01-1997,5.056947368,Andhra Pradesh
AP,Anantapur,01-04-1997,7.689789474,Andhra Pradesh
AP,Anantapur,01-07-1997,6.689368421,Andhra Pradesh
AP,Anantapur,01-10-1997,5.932947368,Andhra Pradesh
AP,Anantapur,01-01-1998,6.612592593,Andhra Pradesh
AP,Anantapur,01-04-1998,8.64962963,Andhra Pradesh
AP,Anantapur,01-07-1998,6.000123457,Andhra Pradesh
AP,Anantapur,01-10-1998,4.849876543,Andhra Pradesh
AP,Anantapur,01-01-1999,6.104605263,Andhra Pradesh
AP,Anantapur,01-04-1999,7.779868421,Andhra Pradesh
AP,Anantapur,01-07-1999,8.183289474,Andhra Pradesh
AP,Anantapur,01-10-1999,6.893421053,Andhra Pradesh
AP,Anantapur,01-01-2000,7.408378378,Andhra Pradesh
AP,Anantapur,01-04-2000,9.407162162,Andhra Pradesh
AP,Anantapur,01-07-2000,7.202567568,Andhra Pradesh
AP,Anantapur,01-10-2000,6.063243243,Andhra Pradesh
AP,Anantapur,01-01-2001,6.763918919,Andhra Pradesh
AP,Anantapur,01-04-2001,8.619189189,Andhra Pradesh
AP,Anantapur,01-07-2001,9.243648649,Andhra Pradesh
AP,Anantapur,01-10-2001,4.17972973,Andhra Pradesh
AP,Anantapur,01-01-2002,4.955138889,Andhra Pradesh
AP,Anantapur,01-04-2002,8.295138889,Andhra Pradesh
AP,Anantapur,01-07-2002,8.095555556,Andhra Pradesh
AP,Anantapur,01-10-2002,7.750138889,Andhra Pradesh
AP,Anantapur,01-01-2003,8.499846154,Andhra Pradesh
AP,Anantapur,01-04-2003,11.77230769,Andhra Pradesh
AP,Anantapur,01-07-2003,11.05292308,Andhra Pradesh
AP,Anantapur,01-10-2003,8.134153846,Andhra Pradesh
AP,Anantapur,01-01-2004,10.04192982,Andhra Pradesh
AP,Anantapur,01-04-2004,11.62175439,Andhra Pradesh
AP,Anantapur,01-07-2004,10.07105263,Andhra Pradesh
AP,Anantapur,01-10-2004,9.324385965,Andhra Pradesh
AP,Anantapur,01-01-2005,15.9852381,Andhra Pradesh
AP,Anantapur,01-04-2005,17.73542778,Andhra Pradesh
AP,Anantapur,01-07-2005,13.20095238,Andhra Pradesh
AP,Anantapur,01-10-2005,9.048730159,Andhra Pradesh
AP,Anantapur,01-01-2006,10.64825,Andhra Pradesh
AP,Anantapur,01-04-2006,12.4356775,Andhra Pradesh
AP,Anantapur,01-07-2006,11.56141667,Andhra Pradesh
AP,Anantapur,01-10-2006,12.25366667,Andhra Pradesh
AP,Anantapur,01-01-2007,14.41324786,Andhra Pradesh
AP,Anantapur,01-04-2007,15.81078034,Andhra Pradesh
AP,Anantapur,01-07-2007,12.18454103,Andhra Pradesh
